backend,aggregation,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,score_mean,score_std
siamese,mean,0.7381944444444445,0.11513964280680661,0.7033840864463257,0.11998461497608497,0.46017097420990466,0.08051714681377169
siamese,softmax_weighted,0.7340277777777777,0.1216126247022424,0.7011966020181292,0.13102963770521656,0.5026068547119696,0.06947759461703104
cosine,topk_mean,0.7305555555555555,0.07710800683971067,0.7734114564567014,0.08134871459357508,0.9868815506498019,0.008324050332207598
cosine,softmax_weighted,0.7236111111111111,0.09582326839255745,0.7672782325612871,0.08639970389957441,0.960825845102469,0.0209955123526797
cosine,max,0.7215277777777778,0.07920929651449371,0.767557548540647,0.08610168353049215,0.9878450597325961,0.00780563398283869
cosine,mean,0.7159722222222222,0.10359669164548774,0.7569556309292478,0.09394770370604844,0.9405924359957376,0.030690547954745857
siamese,topk_mean,0.673611111111111,0.11848596196360854,0.6870413827748681,0.09430424554819328,0.6034115426242351,0.05627436491723026
siamese,max,0.6611111111111111,0.11756889525004269,0.6750597768540543,0.09191935655465326,0.6105689164251089,0.056039675537535735
