method,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,score_mean,score_std
banded_diagonal_mean,0.742361111111111,0.07330693618617626,0.7841486607389235,0.06795753621710428,0.9517668212453524,0.027241108537575033
dtw_cosine_mean_path,0.7381944444444445,0.08118699414212012,0.7870409737321502,0.07808869829733167,0.9676596812903882,0.017203914965092888
siamese_mean_global,0.7381944444444445,0.11513964280680661,0.7033840864463257,0.11998461497608497,0.46017097420990466,0.08051714681377169
cosine_mean_global,0.7305555555555555,0.08764562641629062,0.7624368220601732,0.0880815010475762,0.9443722732365132,0.028256917803710018
banded_diagonal_max,0.7236111111111112,0.08037442386091444,0.7706672259933971,0.08574689905828758,0.9874419793486595,0.008538908228963823
dtw_cosine_max_path,0.7166666666666667,0.07103125338522466,0.7621529880025724,0.07849113392709699,0.9877727068960667,0.008298110416086812
