variant,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,accuracy_default_mean,precision_default_mean,recall_default_mean,f1_default_mean,best_threshold_mean,accuracy_calibrated_mean,precision_calibrated_mean,recall_calibrated_mean,f1_calibrated_mean,score_mean_mean,score_std_mean
minmax,0.7076388888888888,0.10579742027007305,0.7612199170592797,0.09947032468325087,0.5625,0.5444973483464532,0.9333333333333332,0.6840601257918703,0.6526701582993805,0.6916666666666667,0.689973335842901,0.85,0.7396803438107786,0.7385775153072155,0.1874781724419279
raw,0.7076388888888888,0.10579742027007305,0.7612199170592796,0.09947032468325086,0.5,0.5,1.0,0.6666666666666667,0.9427651822566986,0.6916666666666667,0.689973335842901,0.85,0.7396803438107786,0.9545000972847145,0.022135932857126814
logit,0.7076388888888888,0.10579742027007305,0.7612199170592796,0.09947032468325086,0.6291666666666667,0.6321744921744921,0.6916666666666667,0.6540536004679226,0.4990323876984385,0.6916666666666667,0.689973335842901,0.85,0.7396803438107786,0.5000771556620458,0.001198493575858527
