dim,feature_group,mean_score_drop
94,MERT,0.00067451596
95,MERT,0.0022799927
96,MERT,0.0017905338
97,MERT,0.004162976
98,MERT,-0.00029362662
99,MERT,0.0022292868
100,MERT,-0.00016539339
101,MERT,-0.0015367307
102,MERT,0.0014598209
103,MERT,9.090882e-05
104,MERT,0.0012968006
105,MERT,0.00011726841
106,MERT,0.004525724
107,MERT,-0.001044447
108,MERT,-0.00028025545
109,MERT,-0.00032215417
110,MERT,-0.00031218064
111,MERT,-0.00059209263
112,MERT,0.0030160123
113,MERT,0.00091910677
114,MERT,-0.000101489575
115,MERT,0.0027246852
116,MERT,0.000106691754
117,MERT,0.00022809525
118,MERT,-0.0003167875
119,MERT,0.0014401434
120,MERT,2.272781e-05
121,MERT,0.00025260207
122,MERT,-1.6054324e-05
123,MERT,0.00017983094
124,MERT,0.0002955543
125,MERT,-0.000593801
126,MERT,0.0016371699
127,MERT,-0.0007326013
128,MERT,0.00031305905
129,MERT,-0.0011841729
130,MERT,0.0012716705
131,MERT,0.00015985705
132,MERT,-0.00015936047
133,MERT,-8.4969026e-05
134,MERT,0.00027648173
135,MERT,1.7422066e-05
136,MERT,-0.00045653209
137,MERT,-0.00019187127
138,MERT,0.00072137674
139,MERT,3.5073794e-05
140,MERT,-0.0013290273
141,MERT,0.00035418198
142,MERT,-3.2657758e-06
143,MERT,0.00022568964
144,MERT,-0.00064824504
145,MERT,0.00053035264
146,MERT,0.0005222585
147,MERT,-0.0009037185
148,MERT,0.00018902533
149,MERT,0.000580143
150,MERT,0.00080168433
151,MERT,-0.00042520408
152,MERT,0.00021244287
153,MERT,9.2990695e-06
154,MERT,-0.0012076631
155,MERT,-0.00045031533
156,MERT,-0.0003606338
157,MERT,-0.00072681624
158,MERT,0.00056906475
159,MERT,-3.7078185e-05
160,MERT,0.001977717
161,MERT,0.00039568954
162,MERT,2.6299991e-05
163,MERT,-0.001407383
164,MERT,0.00021478087
165,MERT,-0.00020411945
166,MERT,-0.00044622814
167,MERT,0.00751978
168,MERT,-0.0021357038
169,MERT,0.00016158838
170,MERT,0.00037244763
171,MERT,8.638296e-05
172,MERT,-5.2141397e-05
173,MERT,0.0016607776
174,MERT,-0.00016246512
175,MERT,0.0003616292
176,MERT,0.0016511653
177,MERT,-0.0008492038
178,MERT,0.0013204345
179,MERT,0.0004335867
180,MERT,-0.00024273917
181,MERT,0.0003595354
182,MERT,0.00010326151
183,MERT,6.476119e-05
184,MERT,0.00011264961
185,MERT,0.000102270955
186,MERT,9.2003495e-05
187,MERT,-0.00023303088
188,MERT,0.0001575429
189,MERT,0.00018194504
190,MERT,0.00012477339
191,MERT,0.00027233455
192,MERT,-0.00086950196
193,MERT,0.00021274314
194,MERT,-0.00034312494
195,MERT,-0.0007813072
196,MERT,0.00013734773
197,MERT,-0.00016590208
198,MERT,-0.002838755
199,MERT,0.0006449759
200,MERT,0.00017528907
201,MERT,0.0010910075
202,MERT,0.00088577083
203,MERT,-0.0020014378
204,MERT,0.00039963593
205,MERT,-2.59839e-06
206,MERT,-0.0006790947
207,MERT,0.00052373746
208,MERT,0.000584748
209,MERT,1.4419667e-05
210,MERT,0.0005506178
211,MERT,0.00014321171
212,MERT,0.00032991116
213,MERT,-9.749401e-05
214,MERT,-0.00029398277
215,MERT,-5.2114017e-05
216,MERT,0.0014874337
217,MERT,0.000630221
218,MERT,0.00081187655
219,MERT,1.2596883e-05
220,MERT,0.00048636552
221,MERT,0.00024733524
222,MERT,0.0016550489
223,MERT,-0.00064045674
224,MERT,-0.0001200743
225,MERT,0.0011368224
226,MERT,0.0010291033
227,MERT,0.0004311718
228,MERT,-0.0020743648
229,MERT,0.0003282506
230,MERT,0.0009908611
231,MERT,0.0005091956
232,MERT,0.0002295714
233,MERT,0.0001646787
234,MERT,-1.6149133e-07
235,MERT,0.00015994832
236,MERT,0.0007802293
237,MERT,-0.00042607525
238,MERT,0.00025979095
239,MERT,0.0008885384
240,MERT,0.0038532137
241,MERT,0.0012605537
242,MERT,-0.00010066126
243,MERT,0.0015010217
244,MERT,0.0003286358
245,MERT,-0.0005381545
246,MERT,0.0002592629
247,MERT,0.00023089629
248,MERT,0.0010670342
249,MERT,6.8363544e-05
250,MERT,-2.0786934e-05
251,MERT,-0.0006914379
252,MERT,0.00077345374
253,MERT,-0.00010657516
254,MERT,0.0011214154
255,MERT,0.000809346
256,MERT,0.0004626967
257,MERT,-0.0026926748
258,MERT,-0.0010220662
259,MERT,0.0009707771
260,MERT,-0.00066778157
261,MERT,0.00013674647
262,MERT,-0.00041922386
263,MERT,-0.00028239898
264,MERT,-0.0024601666
265,MERT,0.00092135574
266,MERT,0.0032885992
267,MERT,-0.00031052734
268,MERT,-0.000101862104
269,MERT,-0.0003871657
270,MERT,-0.0015741941
271,MERT,-0.0011518749
272,MERT,0.0015097929
273,MERT,0.00019253921
274,MERT,0.003880123
275,MERT,0.00010671057
276,MERT,0.00029912833
277,MERT,7.084142e-05
278,MERT,0.00057459605
279,MERT,-5.02523e-06
280,MERT,0.0006132003
281,MERT,-0.0006092608
282,MERT,0.0007432651
283,MERT,0.002416711
284,MERT,0.0027322886
285,MERT,0.00018301625
286,MERT,-6.146748e-05
287,MERT,-0.00061693415
288,MERT,0.0007494384
289,MERT,-0.001222441
290,MERT,0.00029929765
291,MERT,0.0010621089
292,MERT,0.00026379357
293,MERT,7.392485e-05
294,MERT,-0.0013507077
295,MERT,0.0009922363
296,MERT,0.004292324
297,MERT,0.003056315
298,MERT,0.0004066063
299,MERT,0.00013279225
300,MERT,0.0002749579
301,MERT,-0.0015589055
302,MERT,0.0004395837
303,MERT,-0.00052820647
304,MERT,-0.002615137
305,MERT,0.0013700746
306,MERT,-0.00020057727
307,MERT,0.0012798652
308,MERT,0.00022653304
309,MERT,1.1380948e-05
310,MERT,-0.00046388098
311,MERT,-0.0005463753
312,MERT,-0.00028074702
313,MERT,-0.0004151147
314,MERT,0.00085475424
315,MERT,0.0002380358
316,MERT,0.0016255375
317,MERT,0.00013857447
318,MERT,0.00017139055
319,MERT,0.0001805365
320,MERT,0.0005650783
321,MERT,0.0011717115
322,MERT,0.0016541898
323,MERT,0.0001292307
324,MERT,-0.00032082555
325,MERT,-0.0002565682
326,MERT,-0.00014374703
327,MERT,1.4824048e-05
328,MERT,3.4347175e-07
329,MERT,0.00022331756
330,MERT,-0.00023646877
331,MERT,-0.00020140465
332,MERT,-0.0009725796
333,MERT,-0.0009132855
334,MERT,0.00088892074
335,MERT,0.0013447022
336,MERT,-0.00035490358
337,MERT,0.0004502302
338,MERT,0.001237458
339,MERT,0.00038145817
340,MERT,-0.00012593213
341,MERT,-0.0007135272
342,MERT,0.0030835734
343,MERT,0.0020591584
344,MERT,0.00025886242
345,MERT,-0.00042418874
346,MERT,0.001404633
347,MERT,0.00043731352
348,MERT,-9.27899e-05
349,MERT,0.00066498516
350,MERT,0.00087480934
351,MERT,0.0002332192
352,MERT,-0.0020841793
353,MERT,-0.006721316
354,MERT,-0.0012741812
355,MERT,0.00015766193
356,MERT,-4.2972526e-05
357,MERT,0.00034395308
358,MERT,0.00065570435
359,MERT,0.0013440719
360,MERT,0.00013315529
361,MERT,-0.00028028843
362,MERT,-0.00013066697
363,MERT,0.00019045807
364,MERT,-0.0005477417
365,MERT,0.0011512346
366,MERT,-0.0013200061
367,MERT,-0.0016210286
368,MERT,-0.0007083056
369,MERT,0.0010183401
370,MERT,-0.00059871393
371,MERT,-0.0001875287
372,MERT,-0.0001311766
373,MERT,0.0011004262
374,MERT,0.00019738339
375,MERT,-0.00046302675
376,MERT,-0.0006182801
377,MERT,-0.00060044916
378,MERT,-0.0005287612
379,MERT,-0.00042208208
380,MERT,-0.0004266454
381,MERT,0.00029325057
382,MERT,-0.0011670601
383,MERT,-2.2719429e-05
384,MERT,0.00013738479
